mathScore, readingScore, writingScore
72,	72,	74
69,	90,	88
90,	95,	93
47,	57,	44
76,	78,	75
71,	83,	78
88,	95,	92
40,	43,	39
64,	64,	67
38,	60,	50
58,	54,	52
40,	52,	43
65,	81,	73
78,	72,	70
50,	53,	58
69,	75,	78
88,	89,	86
18,	32,	28
46,	42,	46
54,	58,	61
66,	69,	63
65,	75,	70
44,	54,	53
69,	73,	73
74,	71,	80
73,	74,	72
69,	54,	55
67,	69,	75
70,	70,	65
62,	70,	75
69,	74,	74
63,	65,	61
56,	72,	65
40,	42,	38
97,	87,	82
81,	81,	79
74,	81,	83
50,	64,	59
75,	90,	88
57,	56,	57
55,	61,	54
58,	73,	68
53,	58,	65
59,	65,	66
50,	56,	54
65,	54,	57
55,	65,	62
66,	71,	76
57,	74,	76
82,	84,	82
53,	55,	48
77,	69,	68
53,	44,	42
88,	78,	75
71,	84,	87
33,	41,	43
82,	85,	86
52,	55,	49
58,	59,	58
0,	17,	10
79,	74,	72
39,	39,	34
62,	61,	55
69,	80,	71
59,	58,	59
67,	64,	61
45,	37,	37
60,	72,	74
61,	58,	56
39,	64,	57
58,	63,	73
63,	55,	63
41,	51,	48
61,	57,	56
49,	49,	41
44,	41,	38
30,	26,	22
80,	78,	81
61,	74,	72
62,	68,	68
47,	49,	50
49,	45,	45
50,	47,	54
72,	64,	63
42,	39,	34
73,	80,	82
76,	83,	88
71,	71,	74
58,	70,	67
73,	86,	82
65,	72,	74
27,	34,	36
71,	79,	71
43,	45,	50
79,	86,	92
78,	81,	82
65,	66,	62
63,	72,	70
58,	67,	62
65, 67, 62
